gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges
male,0,yes,no,71,yes,no,dsl,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),86.1,6045.9
female,1,yes,no,60,yes,yes,fiber_optic,no,no,yes,no,yes,yes,one_year,yes,credit_card_(automatic),100.5,6029.0
male,0,no,no,46,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,credit_card_(automatic),45.2,2065.15
male,0,yes,no,1,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,69.15,69.15
male,1,no,no,20,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,98.55,1842.8
male,0,yes,no,10,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,bank_transfer_(automatic),19.6,189.45
female,0,yes,no,51,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,mailed_check,69.15,3649.6
female,0,no,no,14,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,electronic_check,50.45,765.45
male,1,no,no,20,yes,no,dsl,yes,no,no,yes,no,no,one_year,no,mailed_check,54.0,1055.9
male,0,no,no,28,yes,yes,fiber_optic,yes,yes,no,no,no,yes,month-to-month,yes,credit_card_(automatic),94.5,2659.4
female,1,yes,no,50,yes,yes,fiber_optic,no,no,no,yes,yes,yes,one_year,yes,electronic_check,100.65,5189.75
female,0,no,no,13,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,85.95,1215.65
male,0,yes,yes,14,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,19.75,309.35
male,1,yes,no,45,yes,yes,fiber_optic,no,yes,yes,yes,yes,no,one_year,yes,bank_transfer_(automatic),98.7,4525.8
female,1,no,no,40,yes,yes,fiber_optic,no,no,yes,yes,yes,yes,one_year,yes,credit_card_(automatic),103.75,4188.4
female,0,yes,no,6,yes,no,dsl,no,no,no,yes,no,no,month-to-month,yes,electronic_check,49.15,270.8
male,0,no,no,66,yes,yes,fiber_optic,no,yes,no,yes,yes,yes,one_year,yes,electronic_check,104.25,6860.6
male,0,yes,yes,56,yes,yes,fiber_optic,no,yes,no,yes,yes,no,month-to-month,yes,credit_card_(automatic),96.95,5432.2
female,0,no,no,2,no,no_phone_service,dsl,no,no,no,yes,no,no,month-to-month,yes,electronic_check,30.9,59.05
female,0,yes,yes,70,yes,yes,fiber_optic,yes,yes,yes,yes,no,no,two_year,no,bank_transfer_(automatic),93.9,6579.05
male,0,no,no,24,yes,no,dsl,no,yes,no,no,no,no,month-to-month,yes,mailed_check,49.7,1218.25
male,0,yes,yes,44,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,electronic_check,24.85,1013.6
male,1,no,no,25,yes,yes,fiber_optic,no,yes,no,no,yes,no,month-to-month,yes,electronic_check,88.95,2291.2
male,0,no,yes,3,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,26.4,121.25
male,0,no,yes,1,no,no_phone_service,dsl,no,no,no,no,no,no,month-to-month,no,electronic_check,24.75,24.75
male,0,no,no,48,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,credit_card_(automatic),106.1,5082.8
female,0,yes,yes,27,yes,no,dsl,no,yes,no,no,no,no,month-to-month,no,mailed_check,49.85,1336.15
male,0,no,no,1,no,no_phone_service,dsl,no,no,no,no,no,yes,month-to-month,yes,electronic_check,35.45,35.45
female,0,yes,yes,64,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,20.2,1277.75
male,1,yes,no,52,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,yes,bank_transfer_(automatic),105.1,5376.4
male,0,yes,yes,40,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),25.25,1006.9
female,1,no,no,72,yes,yes,fiber_optic,yes,yes,no,yes,yes,yes,two_year,yes,bank_transfer_(automatic),110.1,7746.7
male,0,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,no,two_year,yes,bank_transfer_(automatic),80.85,5727.45
female,1,yes,yes,3,yes,no,fiber_optic,yes,no,no,yes,yes,no,month-to-month,yes,mailed_check,88.3,273.75
male,0,yes,no,3,yes,no,dsl,no,no,yes,yes,no,no,month-to-month,yes,mailed_check,55.8,154.55
male,0,no,no,22,yes,yes,fiber_optic,yes,no,no,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),101.35,2317.1
female,1,no,no,3,yes,no,fiber_optic,no,no,yes,no,no,no,month-to-month,no,electronic_check,73.85,196.4
male,0,yes,yes,27,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,credit_card_(automatic),54.75,1510.3
female,0,no,no,43,no,no_phone_service,dsl,no,no,yes,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),49.05,2076.2
male,0,yes,yes,9,yes,no,fiber_optic,no,yes,no,yes,yes,yes,month-to-month,yes,electronic_check,101.5,906.85
male,1,no,no,11,yes,yes,fiber_optic,no,yes,yes,yes,yes,yes,month-to-month,yes,electronic_check,111.4,1183.05
male,1,no,no,2,yes,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,93.85,196.75
male,0,yes,no,58,yes,yes,fiber_optic,no,no,yes,no,yes,yes,one_year,no,credit_card_(automatic),100.35,5681.1
male,0,yes,yes,41,yes,yes,dsl,yes,yes,yes,no,yes,no,month-to-month,yes,credit_card_(automatic),74.55,3023.55
female,1,yes,no,46,yes,yes,fiber_optic,no,no,no,yes,yes,yes,one_year,no,electronic_check,100.25,4753.85
female,0,no,no,65,yes,yes,fiber_optic,no,yes,no,yes,yes,yes,one_year,yes,bank_transfer_(automatic),105.05,6744.25
male,0,no,no,7,yes,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,yes,electronic_check,99.8,673.25
female,0,yes,yes,69,no,no_phone_service,dsl,no,yes,yes,no,yes,yes,two_year,yes,credit_card_(automatic),54.95,3772.5
male,1,yes,no,29,yes,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,yes,electronic_check,98.5,3004.15
male,0,yes,yes,28,no,no_phone_service,dsl,yes,no,yes,yes,yes,no,one_year,no,mailed_check,50.8,1386.8
male,0,no,no,4,yes,no,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,79.9,324.3
female,0,no,no,6,yes,yes,fiber_optic,no,no,no,no,yes,yes,month-to-month,yes,bank_transfer_(automatic),93.55,536.4
female,0,no,no,1,yes,no,fiber_optic,no,no,yes,no,no,no,month-to-month,no,electronic_check,75.3,75.3
female,1,no,no,11,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,credit_card_(automatic),84.8,906.85
male,0,yes,yes,45,yes,yes,fiber_optic,no,yes,yes,no,no,yes,month-to-month,yes,bank_transfer_(automatic),95.95,4456.65
male,0,no,no,44,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,111.5,4915.15
male,0,no,yes,21,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,24.7,467.15
male,0,no,no,2,yes,no,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,80.2,181.1
female,1,no,no,45,yes,yes,fiber_optic,no,no,yes,no,yes,yes,one_year,yes,bank_transfer_(automatic),102.15,4735.35
male,0,no,no,63,yes,yes,fiber_optic,yes,yes,yes,yes,yes,no,one_year,no,credit_card_(automatic),104.5,6590.8
male,0,yes,no,61,yes,yes,dsl,yes,no,yes,yes,no,yes,two_year,no,credit_card_(automatic),75.35,4729.3
male,0,yes,no,33,yes,no,dsl,no,no,no,no,no,no,month-to-month,yes,credit_card_(automatic),44.55,1462.6
female,1,yes,yes,65,yes,yes,fiber_optic,no,no,yes,yes,yes,yes,one_year,yes,bank_transfer_(automatic),103.9,6767.1
female,1,no,no,1,yes,no,fiber_optic,no,no,yes,no,no,no,month-to-month,yes,bank_transfer_(automatic),75.3,75.3
female,0,yes,yes,38,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,20.2,746.05
male,0,no,no,71,yes,yes,fiber_optic,yes,no,no,yes,no,yes,one_year,no,credit_card_(automatic),97.65,6687.85
female,0,yes,no,5,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,electronic_check,69.95,330.15
male,0,yes,yes,8,yes,yes,dsl,yes,yes,no,yes,no,yes,two_year,yes,credit_card_(automatic),76.15,645.8
male,0,yes,no,22,yes,yes,fiber_optic,yes,no,no,yes,yes,no,month-to-month,no,credit_card_(automatic),95.9,2234.95
male,0,no,no,72,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,mailed_check,20.8,1521.2
male,0,yes,no,17,no,no_phone_service,dsl,no,no,yes,yes,yes,yes,one_year,no,electronic_check,54.6,934.8
male,0,no,no,26,yes,no,dsl,yes,no,no,yes,yes,yes,one_year,no,bank_transfer_(automatic),75.0,1908.35
female,0,no,no,1,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,85.0,85.0
male,0,yes,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),85.15,6316.2
male,0,no,no,27,yes,no,dsl,yes,no,no,no,no,no,month-to-month,no,mailed_check,50.35,1411.35
male,0,no,no,4,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,no,electronic_check,77.85,299.2
male,0,yes,no,57,yes,yes,fiber_optic,no,no,yes,yes,yes,yes,two_year,no,electronic_check,107.95,5969.85
male,0,yes,yes,31,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,electronic_check,20.65,702.05
female,0,yes,yes,59,yes,yes,fiber_optic,no,yes,no,yes,no,yes,month-to-month,yes,bank_transfer_(automatic),96.65,5580.8
female,0,no,no,5,yes,yes,dsl,no,yes,no,no,no,yes,month-to-month,yes,electronic_check,64.0,370.25
male,0,no,no,15,no,no_phone_service,dsl,no,no,yes,no,yes,yes,one_year,no,electronic_check,50.75,688.2
female,0,yes,no,49,yes,yes,dsl,no,no,no,no,no,no,month-to-month,yes,credit_card_(automatic),52.15,2583.75
female,1,no,no,32,yes,no,dsl,no,yes,no,yes,no,no,month-to-month,no,bank_transfer_(automatic),54.65,1830.1
female,0,yes,no,58,yes,yes,dsl,yes,no,no,yes,no,yes,one_year,yes,electronic_check,68.4,3972.25
female,0,no,no,45,yes,no,dsl,yes,yes,no,yes,no,no,one_year,yes,credit_card_(automatic),62.55,2796.45
male,0,yes,yes,47,yes,yes,fiber_optic,no,no,yes,yes,yes,yes,month-to-month,yes,bank_transfer_(automatic),107.35,5118.95
male,0,yes,yes,46,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,bank_transfer_(automatic),20.2,845.6
male,0,no,no,51,yes,no,fiber_optic,yes,no,no,no,yes,no,one_year,no,mailed_check,86.35,4267.15
female,1,yes,no,44,yes,no,fiber_optic,yes,yes,no,yes,no,no,month-to-month,yes,electronic_check,85.15,3670.5
female,0,yes,yes,14,yes,yes,dsl,no,yes,no,yes,yes,yes,month-to-month,no,credit_card_(automatic),80.45,1137.05
male,0,no,no,10,yes,yes,fiber_optic,no,yes,yes,no,no,yes,month-to-month,yes,electronic_check,95.25,1021.55
female,0,yes,no,30,yes,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,yes,electronic_check,85.0,2624.25
male,0,no,no,1,no,no_phone_service,dsl,no,no,no,no,no,no,month-to-month,no,bank_transfer_(automatic),24.8,24.8
male,1,yes,no,34,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,75.55,2425.4
female,0,yes,yes,56,yes,yes,dsl,yes,no,no,no,yes,no,one_year,no,bank_transfer_(automatic),65.2,3512.15
female,0,yes,yes,60,yes,no,dsl,no,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),80.6,4946.7
male,0,yes,no,59,yes,yes,fiber_optic,yes,yes,yes,no,yes,yes,one_year,yes,electronic_check,110.15,6448.05
female,0,no,no,64,yes,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,yes,bank_transfer_(automatic),115.1,7334.05
male,0,no,no,18,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),20.05,388.6
male,0,no,no,7,yes,no,fiber_optic,no,no,no,no,no,no,month-to-month,no,bank_transfer_(automatic),69.15,488.65
